canonicalId,name,description,module,path
"bmad-advanced-elicitation","bmad-advanced-elicitation","Push the LLM to reconsider, refine, and improve its recent output. Use when user asks for deeper critique or mentions a known deeper critique method, e.g. socratic, first principles, pre-mortem, red team","core","_bmad/core/bmad-advanced-elicitation/SKILL.md"
"bmad-brainstorming","bmad-brainstorming","Facilitate a brainstorming session using diverse creative techniques. Use when the user says 'help me brainstorm' or 'help me ideate'","core","_bmad/core/bmad-brainstorming/SKILL.md"
"bmad-customize","bmad-customize","Authors and updates customization overrides for installed BMad skills. Use when the user says 'customize bmad', 'override a skill', 'change agent behavior', or 'customize a workflow'","core","_bmad/core/bmad-customize/SKILL.md"
"bmad-deep-recon","bmad-deep-recon","Research a topic to support a decision, three ways: draft a research prompt for the user to run in their own tool (ChatGPT, Gemini, Grok, Perplexity, …), turn a finished research report into a short summary with cited sources that other skills can use directly, or run the research here with parallel web searches. Built-in research types: market, domain, technical, competitive, user-voice, academic-lit; also supports choosing between candidates, and custom types via overrides. Use when the user says ""deep recon"", ""research this"", ""draft a research prompt"", ""process this research report"", ""market research"", ""domain research"", ""technical research"", ""competitor research"", ""literature review"", or ""help me choose between""","core","_bmad/core/bmad-deep-recon/SKILL.md"
"bmad-forge-idea","bmad-forge-idea","Test a half-formed idea in a questioning conversation, with different personas probing its weak points, until the user can act on it or drop it with confidence. Optionally writes a short brief for planning skills to build on. Use when the user says 'forge an idea', 'pressure-test this idea', 'stress-test my thinking', or 'harden this idea'","core","_bmad/core/bmad-forge-idea/SKILL.md"
"bmad-help","bmad-help","Analyzes current state and user query to answer BMad questions or recommend the next skill(s) to use. Use when user asks for help, bmad help, what to do next, or what to start with in BMad","core","_bmad/core/bmad-help/SKILL.md"
"bmad-party-mode","bmad-party-mode","Orchestrates lively group discussions between installed BMAD agents or custom personas, and helps author custom parties. Use when the user requests party mode, a roundtable, or multiple agent perspectives — or wants to create/configure a party, define personas, or build an AI focus-group panel","core","_bmad/core/bmad-party-mode/SKILL.md"
"bmad-review","bmad-review","Runs one or more installed review lenses — adversarial critique, edge cases, verification gaps, structure, prose — and reports triaged findings. Use when, and only when, the user asks you to review a diff, a pull request, or an artifact — code or documents, one or many — and actually says ""review""; an explicit skill:bmad-review directive from another skill counts as that ask. A request to act on feedback from an earlier review is a change, not a review. Never invoke this uninvited, including on edits you just made.","core","_bmad/core/bmad-review/SKILL.md"
"gds-agent-game-architect","gds-agent-game-architect","Game systems architect for technical architecture, engine design, and infrastructure. Use when the user asks to talk to Cloud Dragonborn or requests the Game Architect.","gds","_bmad/gds/agents/gds-agent-game-architect/SKILL.md"
"gds-agent-game-designer","gds-agent-game-designer","Game designer for creative vision, GDD creation, and narrative design. Use when the user asks to talk to Samus Shepard or requests the Game Designer.","gds","_bmad/gds/agents/gds-agent-game-designer/SKILL.md"
"gds-agent-game-dev","gds-agent-game-dev","Consolidated game developer for story execution, code implementation, code review, QA/test authorship, and sprint orchestration. Use when the user asks to talk to Link Freeman, the Game Developer, the Game QA, or the Game Scrum Master.","gds","_bmad/gds/agents/gds-agent-game-dev/SKILL.md"
"gds-agent-game-solo-dev","gds-agent-game-solo-dev","Elite indie game developer for rapid prototyping and solo quick-flow development. Use when the user asks to talk to Indie or requests the Game Solo Dev.","gds","_bmad/gds/agents/gds-agent-game-solo-dev/SKILL.md"
"gds-agent-tech-writer","gds-agent-tech-writer","Technical documentation specialist and knowledge curator for game projects. Use when the user asks to talk to Paige or requests the Technical Writer.","gds","_bmad/gds/agents/gds-agent-tech-writer/SKILL.md"
"gds-brainstorm-game","gds-brainstorm-game","Facilitate game brainstorming sessions with game-specific techniques. Use when the user says ""brainstorm game"" or ""game ideas""","gds","_bmad/gds/workflows/1-preproduction/gds-brainstorm-game/SKILL.md"
"gds-create-game-brief","gds-create-game-brief","Create, update, or validate a game brief. Use when the user wants help producing, editing, or validating a game brief before detailed design.","gds","_bmad/gds/workflows/1-preproduction/gds-create-game-brief/SKILL.md"
"gds-domain-research","gds-domain-research","Conduct game domain and industry research. Use when the user says ""lets create a research report on [game domain or industry]""","gds","_bmad/gds/workflows/1-preproduction/research/gds-domain-research/SKILL.md"
"gds-create-narrative","gds-create-narrative","Create comprehensive narrative documentation with story structure and world-building. Use when the user says ""narrative design"" or ""create narrative""","gds","_bmad/gds/workflows/2-design/gds-create-narrative/SKILL.md"
"gds-gdd","gds-gdd","Create, update, or validate a game's Game Design Document. Use when the user wants help producing, editing, or validating a GDD — the primary design artifact covering pillars, mechanics, progression, levels, art, audio, and development epics.","gds","_bmad/gds/workflows/2-design/gds-gdd/SKILL.md"
"gds-prd","gds-prd","Create, update, validate, or analyze a game project's PRD. Use when the user wants help producing, editing, validating, or analyzing a PRD — often derived from a GDD or prepared for external-tool integration.","gds","_bmad/gds/workflows/2-design/gds-prd/SKILL.md"
"gds-ux","gds-ux","Plan game UX, UI, and HUD design specifications. Use when the user says ""lets create game UX"", ""design the HUD"", ""create UI specifications"", or ""help me plan the game UX""","gds","_bmad/gds/workflows/2-design/gds-ux/SKILL.md"
"gds-check-implementation-readiness","gds-check-implementation-readiness","Verify GDD, UX, Architecture, and Epics alignment before production. Use when the user says ""check readiness"" or ""implementation readiness""","gds","_bmad/gds/workflows/3-technical/gds-check-implementation-readiness/SKILL.md"
"gds-create-epics-and-stories","gds-create-epics-and-stories","Create Epics and Stories from GDD requirements for development. Use when the user says ""create epics"" or ""create stories""","gds","_bmad/gds/workflows/3-technical/gds-create-epics-and-stories/SKILL.md"
"gds-game-architecture","gds-game-architecture","Design scale-adaptive game architecture with engine systems and networking. Use when the user says ""game architecture"" or ""design architecture""","gds","_bmad/gds/workflows/3-technical/gds-game-architecture/SKILL.md"
"gds-generate-project-context","gds-generate-project-context","Create optimized project-context.md for AI agent consistency. Use when the user says ""project context"" or ""generate context""","gds","_bmad/gds/workflows/3-technical/gds-generate-project-context/SKILL.md"
"gds-code-review","gds-code-review","Review code changes adversarially using parallel review layers (Blind Hunter, Edge Case Hunter, Acceptance Auditor) with structured triage into actionable categories. Use when the user says ""run code review"" or ""review this code""","gds","_bmad/gds/workflows/4-production/gds-code-review/SKILL.md"
"gds-correct-course","gds-correct-course","Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""","gds","_bmad/gds/workflows/4-production/gds-correct-course/SKILL.md"
"gds-create-story","gds-create-story","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says ""create the next story"" or ""create story [story identifier]""","gds","_bmad/gds/workflows/4-production/gds-create-story/SKILL.md"
"gds-dev-story","gds-dev-story","Execute story implementation following a context filled story spec file. Use when the user says ""dev this story [story file]"" or ""implement the next story in the sprint plan""","gds","_bmad/gds/workflows/4-production/gds-dev-story/SKILL.md"
"gds-investigate","gds-investigate","Forensic case investigation with evidence-graded findings, calibrated to the input. Use when the user asks to investigate a bug, trace what caused an incident, walk through unfamiliar code, or build a mental model of a code area before working on it.","gds","_bmad/gds/workflows/4-production/gds-investigate/SKILL.md"
"gds-retrospective","gds-retrospective","Post-epic review to extract lessons and assess success. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]""","gds","_bmad/gds/workflows/4-production/gds-retrospective/SKILL.md"
"gds-sprint-planning","gds-sprint-planning","Generate sprint status tracking from epics. Use when the user says ""run sprint planning"" or ""generate sprint plan""","gds","_bmad/gds/workflows/4-production/gds-sprint-planning/SKILL.md"
"gds-sprint-status","gds-sprint-status","Summarize sprint status and surface risks. Use when the user says ""check sprint status"" or ""show sprint status""","gds","_bmad/gds/workflows/4-production/gds-sprint-status/SKILL.md"
"gds-e2e-scaffold","gds-e2e-scaffold","Scaffold end-to-end testing infrastructure. Use when the user says ""e2e scaffold"" or ""set up e2e testing""","gds","_bmad/gds/workflows/gametest/gds-e2e-scaffold/SKILL.md"
"gds-performance-test","gds-performance-test","Design game performance testing strategy. Use when the user says ""performance test"" or ""benchmark""","gds","_bmad/gds/workflows/gametest/gds-performance-test/SKILL.md"
"gds-playtest-plan","gds-playtest-plan","Create structured playtesting plans for user feedback. Use when the user says ""playtest plan"" or ""playtesting""","gds","_bmad/gds/workflows/gametest/gds-playtest-plan/SKILL.md"
"gds-test-automate","gds-test-automate","Generate automated game tests for gameplay systems. Use when the user says ""automate tests"" or ""generate tests""","gds","_bmad/gds/workflows/gametest/gds-test-automate/SKILL.md"
"gds-test-design","gds-test-design","Create comprehensive game test scenarios. Use when the user says ""test design"" or ""design tests""","gds","_bmad/gds/workflows/gametest/gds-test-design/SKILL.md"
